City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Saskylakh,RU,2022-04-19 18:12:16,71.9167,114.0833,-7.26,100,83,4.85
112,Sayat,TM,2022-04-19 18:16:49,38.7839,63.8803,58.21,72,95,10.87
113,Leningradskiy,RU,2022-04-19 18:16:49,69.3833,178.4167,13.41,88,99,4.16
114,Khasan,RU,2022-04-19 18:16:50,42.4308,130.6434,42.58,91,0,2.8
115,Prainha,BR,2022-04-19 18:16:50,-1.8,-53.48,85.08,71,87,2.89
116,Saint-Philippe,RE,2022-04-19 18:16:14,-21.3585,55.7679,78.39,83,32,7.34
117,Kushima,JP,2022-04-19 18:16:50,31.4583,131.2333,57.78,74,100,4.29
118,Puerto Ayora,EC,2022-04-19 18:16:51,-0.7393,-90.3518,78.76,83,66,9.64
119,Nanortalik,GL,2022-04-19 18:16:51,60.1432,-45.2371,32.74,57,70,30.53
120,Basco,PH,2022-04-19 18:16:52,20.4487,121.9702,77.58,74,95,18.52
121,Necochea,AR,2022-04-19 18:16:52,-38.5473,-58.7368,72.64,49,65,11.74
122,Gamba,GA,2022-04-19 18:16:52,-2.65,10.0,75.36,94,100,9.69
123,Jamiltepec,MX,2022-04-19 18:14:48,16.2833,-97.8167,93.92,28,6,6.98
124,Grand Gaube,MU,2022-04-19 18:16:53,-20.0064,57.6608,80.38,88,68,5.01
125,Vao,NC,2022-04-19 18:16:53,-22.6667,167.4833,74.82,72,0,5.84
126,Bengkulu,ID,2022-04-19 18:16:54,-3.8004,102.2655,78.12,88,100,4.76
127,Chokurdakh,RU,2022-04-19 18:16:54,70.6333,147.9167,5.27,95,63,5.5
128,Iznoski,RU,2022-04-19 18:16:55,54.9881,35.3108,44.02,88,99,11.12
129,Aleksandrov Gay,RU,2022-04-19 18:16:55,50.147,48.5704,60.89,50,85,9.75
130,Puerto Escondido,MX,2022-04-19 18:16:55,15.85,-97.0667,86.83,70,0,8.05
131,Geraldton,AU,2022-04-19 18:16:56,-28.7667,114.6,66.61,42,0,19.57
132,Itarema,BR,2022-04-19 18:16:56,-2.9248,-39.9167,82.78,78,97,9.89
133,Clonakilty,IE,2022-04-19 18:16:57,51.6231,-8.8706,49.21,78,88,11.21
134,Sangar,RU,2022-04-19 18:16:57,63.9242,127.4739,21.92,95,100,6.4
135,Albany,US,2022-04-19 18:12:18,42.6001,-73.9662,41.65,73,96,1.01
136,Yamada,JP,2022-04-19 18:14:19,39.4667,141.95,40.05,69,0,5.1
137,Sussex,US,2022-04-19 18:15:08,41.1834,-74.6663,46.49,59,100,12.66
138,Boyolangu,ID,2022-04-19 18:16:58,-8.1181,111.8935,74.08,96,100,6.46
